original_split,original_filename,reason
train_val,d_r_103_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_105_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_112_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_113_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_125_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_132_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_135_.jpg,below threshold (11 < 500 FV pixels)
train_val,d_r_145_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_14_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_153_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_160_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_163_.jpg,below threshold (267 < 500 FV pixels)
train_val,d_r_169_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_174_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_179_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_17_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_185_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_186_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_189_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_18_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_195_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_198_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_1_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_204_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_20_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_211_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_215_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_223_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_23_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_247_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_253_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_256_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_259_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_25_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_266_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_268_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_26_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_270_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_273_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_274_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_275_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_288_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_293_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_299_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_29_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_301_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_305_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_310_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_312_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_319_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_323_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_324_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_326_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_327_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_333_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_33_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_340_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_348_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_363_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_364_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_372_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_376_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_377_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_378_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_37_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_382_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_383_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_385_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_387_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_388_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_399_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_3_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_403_.jpg,below threshold (0 < 500 FV pixels)
train_val,d_r_404_.jpg,below threshold (0 < 500 FV pixels)
