original_filename,new_filename
7117_Chaetodon_vagabundus_3_f000020.jpg,deepfish_00001.jpg
7117_Chaetodon_vagabundus_3_f000030.jpg,deepfish_00002.jpg
7117_Chaetodon_vagabundus_3_f000040.jpg,deepfish_00003.jpg
7117_Chaetodon_vagabundus_3_f000060.jpg,deepfish_00004.jpg
7117_Chaetodon_vagabundus_3_f000070.jpg,deepfish_00005.jpg
7117_Lutjanus_a_testclip_far_away_short_f000080.jpg,deepfish_00006.jpg
7117_Lutjanus_a_testclip_far_away_short_f000090.jpg,deepfish_00007.jpg
7117_Lutjanus_a_testclip_far_away_short_f000100.jpg,deepfish_00008.jpg
7117_Lutjanus_a_testclip_far_away_short_f000180.jpg,deepfish_00009.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000000.jpg,deepfish_00010.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000030.jpg,deepfish_00011.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000040.jpg,deepfish_00012.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000050.jpg,deepfish_00013.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000060.jpg,deepfish_00014.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000070.jpg,deepfish_00015.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000080.jpg,deepfish_00016.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000090.jpg,deepfish_00017.jpg
7117_Lutjanus_argentimaculatus_adult_2_f000100.jpg,deepfish_00018.jpg
7398_F1_f000160.jpg,deepfish_00019.jpg
7398_F2_f000000.jpg,deepfish_00020.jpg
7398_F2_f000010.jpg,deepfish_00021.jpg
7398_F2_f000020.jpg,deepfish_00022.jpg
7398_F2_f000030.jpg,deepfish_00023.jpg
7398_F2_f000050.jpg,deepfish_00024.jpg
7398_F6_f000010.jpg,deepfish_00025.jpg
7398_F6_f000020.jpg,deepfish_00026.jpg
7398_F6_f000030.jpg,deepfish_00027.jpg
7398_F6_f000040.jpg,deepfish_00028.jpg
7398_F6_f000050.jpg,deepfish_00029.jpg
7398_F6_f000060.jpg,deepfish_00030.jpg
7398_F6_f000070.jpg,deepfish_00031.jpg
7398_F6_f000080.jpg,deepfish_00032.jpg
7398_F6_f000090.jpg,deepfish_00033.jpg
7398_F6_f000100.jpg,deepfish_00034.jpg
7398_F6_f000110.jpg,deepfish_00035.jpg
7398_F6_f000120.jpg,deepfish_00036.jpg
7398_F6_f000130.jpg,deepfish_00037.jpg
7398_F6_f000140.jpg,deepfish_00038.jpg
7398_F6_f000150.jpg,deepfish_00039.jpg
7398_F6_f000160.jpg,deepfish_00040.jpg
7398_F6_f000170.jpg,deepfish_00041.jpg
7398_F6_f000180.jpg,deepfish_00042.jpg
7398_F6_f000190.jpg,deepfish_00043.jpg
7398_F6_f000200.jpg,deepfish_00044.jpg
7482_F2_f000040.jpg,deepfish_00045.jpg
7482_F2_f000050.jpg,deepfish_00046.jpg
7482_F2_f000060.jpg,deepfish_00047.jpg
7482_F2_f000080.jpg,deepfish_00048.jpg
7482_F2_f000090.jpg,deepfish_00049.jpg
7482_F2_f000100.jpg,deepfish_00050.jpg
7482_F2_f000110.jpg,deepfish_00051.jpg
7482_F2_f000120.jpg,deepfish_00052.jpg
7482_F2_f000130.jpg,deepfish_00053.jpg
7482_F2_f000140.jpg,deepfish_00054.jpg
7482_F2_f000150.jpg,deepfish_00055.jpg
7482_F2_f000160.jpg,deepfish_00056.jpg
7482_F2_f000170.jpg,deepfish_00057.jpg
7482_F2_f000180.jpg,deepfish_00058.jpg
7482_F2_f000190.jpg,deepfish_00059.jpg
7482_F2_f000200.jpg,deepfish_00060.jpg
7482_F2_f000210.jpg,deepfish_00061.jpg
7482_F2_f000220.jpg,deepfish_00062.jpg
7482_F2_f000230.jpg,deepfish_00063.jpg
7482_F2_f000280.jpg,deepfish_00064.jpg
7482_F2_f000290.jpg,deepfish_00065.jpg
7482_F2_f000300.jpg,deepfish_00066.jpg
7482_F2_f000310.jpg,deepfish_00067.jpg
7482_F2_f000320.jpg,deepfish_00068.jpg
7482_F2_f000330.jpg,deepfish_00069.jpg
7482_F2_f000340.jpg,deepfish_00070.jpg
7482_F2_f000410.jpg,deepfish_00071.jpg
7482_F2_f000420.jpg,deepfish_00072.jpg
7482_F2_f000430.jpg,deepfish_00073.jpg
7482_F2_f000440.jpg,deepfish_00074.jpg
7482_F2_f000510.jpg,deepfish_00075.jpg
7482_F2_f000520.jpg,deepfish_00076.jpg
7482_F2_f000530.jpg,deepfish_00077.jpg
7482_F2_f000540.jpg,deepfish_00078.jpg
7482_F2_f000550.jpg,deepfish_00079.jpg
7482_F2_f000560.jpg,deepfish_00080.jpg
7482_F2_f000570.jpg,deepfish_00081.jpg
7482_F2_f000580.jpg,deepfish_00082.jpg
7482_F2_f000590.jpg,deepfish_00083.jpg
7482_F2_f000640.jpg,deepfish_00084.jpg
7482_F2_f000670.jpg,deepfish_00085.jpg
7482_F2_f000680.jpg,deepfish_00086.jpg
7482_F3_f000000.jpg,deepfish_00087.jpg
7482_F3_f000010.jpg,deepfish_00088.jpg
7482_F3_f000020.jpg,deepfish_00089.jpg
7482_F3_f000050.jpg,deepfish_00090.jpg
7482_F3_f000060.jpg,deepfish_00091.jpg
7482_F3_f000070.jpg,deepfish_00092.jpg
7482_F3_f000080.jpg,deepfish_00093.jpg
7482_F3_f000090.jpg,deepfish_00094.jpg
7482_F3_f000100.jpg,deepfish_00095.jpg
7482_F3_f000110.jpg,deepfish_00096.jpg
7482_F3_f000120.jpg,deepfish_00097.jpg
7482_F3_f000130.jpg,deepfish_00098.jpg
7482_F3_f000140.jpg,deepfish_00099.jpg
7482_F3_f000150.jpg,deepfish_00100.jpg
7482_F3_f000160.jpg,deepfish_00101.jpg
7482_F3_f000170.jpg,deepfish_00102.jpg
7482_F3_f000180.jpg,deepfish_00103.jpg
7482_F3_f000190.jpg,deepfish_00104.jpg
7482_F3_f000200.jpg,deepfish_00105.jpg
7585_F3_f000000.jpg,deepfish_00106.jpg
7585_F3_f000010.jpg,deepfish_00107.jpg
7585_F3_f000020.jpg,deepfish_00108.jpg
7585_F3_f000030.jpg,deepfish_00109.jpg
7585_F3_f000040.jpg,deepfish_00110.jpg
7585_F3_f000050.jpg,deepfish_00111.jpg
7585_F4_f000000.jpg,deepfish_00112.jpg
7585_F4_f000010.jpg,deepfish_00113.jpg
7585_F4_f000020.jpg,deepfish_00114.jpg
7585_F4_f000030.jpg,deepfish_00115.jpg
7585_F4_f000040.jpg,deepfish_00116.jpg
7585_F4_f000050.jpg,deepfish_00117.jpg
7623_F2_f000050.jpg,deepfish_00118.jpg
7623_F2_f000100.jpg,deepfish_00119.jpg
7623_F2_f000110.jpg,deepfish_00120.jpg
7623_F2_f000120.jpg,deepfish_00121.jpg
7623_F2_f000140.jpg,deepfish_00122.jpg
7623_F2_f000150.jpg,deepfish_00123.jpg
7623_F2_f000170.jpg,deepfish_00124.jpg
7623_F2_f000180.jpg,deepfish_00125.jpg
7623_F2_f000190.jpg,deepfish_00126.jpg
7623_F2_f000200.jpg,deepfish_00127.jpg
7623_F2_f000210.jpg,deepfish_00128.jpg
7623_F2_f000220.jpg,deepfish_00129.jpg
7623_F2_f000230.jpg,deepfish_00130.jpg
7623_F2_f000240.jpg,deepfish_00131.jpg
7623_F2_f000250.jpg,deepfish_00132.jpg
7623_F2_f000260.jpg,deepfish_00133.jpg
7623_F2_f000270.jpg,deepfish_00134.jpg
7623_F2_f000280.jpg,deepfish_00135.jpg
7623_F2_f000290.jpg,deepfish_00136.jpg
7623_F2_f000300.jpg,deepfish_00137.jpg
7623_F2_f000310.jpg,deepfish_00138.jpg
7623_F2_f000320.jpg,deepfish_00139.jpg
7623_F2_f000370.jpg,deepfish_00140.jpg
7623_F2_f000380.jpg,deepfish_00141.jpg
7623_F2_f000390.jpg,deepfish_00142.jpg
7623_F2_f000400.jpg,deepfish_00143.jpg
7623_F2_f000410.jpg,deepfish_00144.jpg
7623_F2_f000460.jpg,deepfish_00145.jpg
7623_F2_f000470.jpg,deepfish_00146.jpg
7623_F2_f000480.jpg,deepfish_00147.jpg
7623_F2_f000490.jpg,deepfish_00148.jpg
7623_F2_f000500.jpg,deepfish_00149.jpg
9852_Acanthopagrus_palmaris_f000000.jpg,deepfish_00150.jpg
9852_Acanthopagrus_palmaris_f000010.jpg,deepfish_00151.jpg
9852_Acanthopagrus_palmaris_f000020.jpg,deepfish_00152.jpg
9852_Acanthopagrus_palmaris_f000030.jpg,deepfish_00153.jpg
9852_Acanthopagrus_palmaris_f000040.jpg,deepfish_00154.jpg
9852_Acanthopagrus_palmaris_f000050.jpg,deepfish_00155.jpg
9852_Acanthopagrus_palmaris_f000060.jpg,deepfish_00156.jpg
9852_Acanthopagrus_palmaris_f000070.jpg,deepfish_00157.jpg
9852_Acanthopagrus_palmaris_f000080.jpg,deepfish_00158.jpg
9852_Lutjanus_russellii_EJP_f000000.jpg,deepfish_00159.jpg
9852_Lutjanus_russellii_EJP_f000010.jpg,deepfish_00160.jpg
9852_Lutjanus_russellii_EJP_f000020.jpg,deepfish_00161.jpg
9852_Lutjanus_russellii_EJP_f000070.jpg,deepfish_00162.jpg
9852_Lutjanus_russellii_EJP_f000080.jpg,deepfish_00163.jpg
9862_Acanthopagrus_palmaris_f000000.jpg,deepfish_00164.jpg
