original_split,original_filename,new_filename,fv_pixel_count
train_val,d_r_148_.jpg,suim_00001.jpg,6310
train_val,d_r_162_.jpg,suim_00002.jpg,41231
train_val,d_r_165_.jpg,suim_00003.jpg,933
train_val,d_r_171_.jpg,suim_00004.jpg,110019
train_val,d_r_217_.jpg,suim_00005.jpg,40613
train_val,d_r_22_.jpg,suim_00006.jpg,45465
train_val,d_r_249_.jpg,suim_00007.jpg,288223
train_val,d_r_258_.jpg,suim_00008.jpg,253474
train_val,d_r_297_.jpg,suim_00009.jpg,8824
train_val,d_r_298_.jpg,suim_00010.jpg,39521
train_val,d_r_303_.jpg,suim_00011.jpg,298439
train_val,d_r_316_.jpg,suim_00012.jpg,35103
train_val,d_r_31_.jpg,suim_00013.jpg,946
train_val,d_r_347_.jpg,suim_00014.jpg,4468
train_val,d_r_381_.jpg,suim_00015.jpg,22212
train_val,d_r_419_.jpg,suim_00016.jpg,8031
train_val,d_r_466_.jpg,suim_00017.jpg,24316
train_val,d_r_46_.jpg,suim_00018.jpg,372176
train_val,d_r_510_.jpg,suim_00019.jpg,29248
train_val,d_r_514_.jpg,suim_00020.jpg,4870
train_val,d_r_52_.jpg,suim_00021.jpg,93959
train_val,d_r_533_.jpg,suim_00022.jpg,1753
train_val,d_r_546_.jpg,suim_00023.jpg,105799
train_val,d_r_563_.jpg,suim_00024.jpg,22485
train_val,d_r_597_.jpg,suim_00025.jpg,45473
train_val,d_r_606_.jpg,suim_00026.jpg,3820
train_val,d_r_61_.jpg,suim_00027.jpg,141820
train_val,d_r_629_.jpg,suim_00028.jpg,16404
train_val,d_r_674_.jpg,suim_00029.jpg,37548
train_val,d_r_682_.jpg,suim_00030.jpg,16782
train_val,d_r_692_.jpg,suim_00031.jpg,140336
train_val,d_r_723_.jpg,suim_00032.jpg,26543
train_val,d_r_742_.jpg,suim_00033.jpg,10234
train_val,d_r_768_.jpg,suim_00034.jpg,5087
train_val,d_r_776_.jpg,suim_00035.jpg,279826
train_val,d_r_789_.jpg,suim_00036.jpg,235064
train_val,d_r_795_.jpg,suim_00037.jpg,22401
train_val,d_r_800_.jpg,suim_00038.jpg,186344
train_val,f_r_1000_.jpg,suim_00039.jpg,37517
train_val,f_r_1007_.jpg,suim_00040.jpg,125511
train_val,f_r_1011_.jpg,suim_00041.jpg,59877
train_val,f_r_1012_.jpg,suim_00042.jpg,12828
train_val,f_r_1013_.jpg,suim_00043.jpg,42153
train_val,f_r_1016_.jpg,suim_00044.jpg,14408
train_val,f_r_1017_.jpg,suim_00045.jpg,7885
train_val,f_r_101_.jpg,suim_00046.jpg,84949
train_val,f_r_1020_.jpg,suim_00047.jpg,83424
train_val,f_r_1021_.jpg,suim_00048.jpg,3558
train_val,f_r_1023_.jpg,suim_00049.jpg,9143
train_val,f_r_1024_.jpg,suim_00050.jpg,5913
train_val,f_r_1025_.jpg,suim_00051.jpg,23211
train_val,f_r_1026_.jpg,suim_00052.jpg,46123
train_val,f_r_1028_.jpg,suim_00053.jpg,52669
train_val,f_r_102_.jpg,suim_00054.jpg,132028
train_val,f_r_1030_.jpg,suim_00055.jpg,5243
train_val,f_r_1031_.jpg,suim_00056.jpg,3644
train_val,f_r_1032_.jpg,suim_00057.jpg,37556
train_val,f_r_1034_.jpg,suim_00058.jpg,90925
train_val,f_r_1036_.jpg,suim_00059.jpg,207803
train_val,f_r_1037_.jpg,suim_00060.jpg,13418
train_val,f_r_1039_.jpg,suim_00061.jpg,126032
train_val,f_r_103_.jpg,suim_00062.jpg,794
train_val,f_r_1040_.jpg,suim_00063.jpg,166542
train_val,f_r_1041_.jpg,suim_00064.jpg,54909
train_val,f_r_1042_.jpg,suim_00065.jpg,2145
train_val,f_r_1044_.jpg,suim_00066.jpg,60238
train_val,f_r_1047_.jpg,suim_00067.jpg,6728
train_val,f_r_1049_.jpg,suim_00068.jpg,15404
train_val,f_r_1050_.jpg,suim_00069.jpg,44638
train_val,f_r_1052_.jpg,suim_00070.jpg,19928
train_val,f_r_1053_.jpg,suim_00071.jpg,68163
train_val,f_r_1054_.jpg,suim_00072.jpg,552
train_val,f_r_1061_.jpg,suim_00073.jpg,154116
train_val,f_r_1062_.jpg,suim_00074.jpg,34159
train_val,f_r_1063_.jpg,suim_00075.jpg,9751
train_val,f_r_1064_.jpg,suim_00076.jpg,48436
train_val,f_r_1066_.jpg,suim_00077.jpg,11158
train_val,f_r_1067_.jpg,suim_00078.jpg,18069
train_val,f_r_1068_.jpg,suim_00079.jpg,739
train_val,f_r_1069_.jpg,suim_00080.jpg,26621
train_val,f_r_1070_.jpg,suim_00081.jpg,36554
train_val,f_r_1071_.jpg,suim_00082.jpg,9281
train_val,f_r_1073_.jpg,suim_00083.jpg,25566
train_val,f_r_1075_.jpg,suim_00084.jpg,1012
train_val,f_r_1076_.jpg,suim_00085.jpg,1268
train_val,f_r_1077_.jpg,suim_00086.jpg,30789
train_val,f_r_1078_.jpg,suim_00087.jpg,33848
train_val,f_r_107_.jpg,suim_00088.jpg,50420
train_val,f_r_1080_.jpg,suim_00089.jpg,46365
train_val,f_r_1081_.jpg,suim_00090.jpg,504
train_val,f_r_1082_.jpg,suim_00091.jpg,15029
train_val,f_r_1083_.jpg,suim_00092.jpg,162215
train_val,f_r_1086_.jpg,suim_00093.jpg,7433
train_val,f_r_1087_.jpg,suim_00094.jpg,3533
train_val,f_r_1088_.jpg,suim_00095.jpg,1388
train_val,f_r_1093_.jpg,suim_00096.jpg,94278
train_val,f_r_1095_.jpg,suim_00097.jpg,11855
train_val,f_r_1096_.jpg,suim_00098.jpg,19485
train_val,f_r_1097_.jpg,suim_00099.jpg,81972
train_val,f_r_1098_.jpg,suim_00100.jpg,18907
train_val,f_r_1102_.jpg,suim_00101.jpg,262002
train_val,f_r_1107_.jpg,suim_00102.jpg,77254
train_val,f_r_1108_.jpg,suim_00103.jpg,9606
train_val,f_r_1109_.jpg,suim_00104.jpg,90151
train_val,f_r_1110_.jpg,suim_00105.jpg,82622
train_val,f_r_1113_.jpg,suim_00106.jpg,101948
train_val,f_r_1115_.jpg,suim_00107.jpg,2201
train_val,f_r_1116_.jpg,suim_00108.jpg,45489
train_val,f_r_1118_.jpg,suim_00109.jpg,31300
train_val,f_r_111_.jpg,suim_00110.jpg,11542
train_val,f_r_1120_.jpg,suim_00111.jpg,11786
train_val,f_r_1123_.jpg,suim_00112.jpg,46356
train_val,f_r_1124_.jpg,suim_00113.jpg,3506
train_val,f_r_1125_.jpg,suim_00114.jpg,1253
train_val,f_r_1127_.jpg,suim_00115.jpg,5673
train_val,f_r_1128_.jpg,suim_00116.jpg,36508
train_val,f_r_1129_.jpg,suim_00117.jpg,61788
train_val,f_r_1134_.jpg,suim_00118.jpg,12600
train_val,f_r_1136_.jpg,suim_00119.jpg,28476
train_val,f_r_1137_.jpg,suim_00120.jpg,29245
train_val,f_r_1142_.jpg,suim_00121.jpg,5252
train_val,f_r_1144_.jpg,suim_00122.jpg,44762
train_val,f_r_1147_.jpg,suim_00123.jpg,69271
train_val,f_r_1149_.jpg,suim_00124.jpg,53603
train_val,f_r_1151_.jpg,suim_00125.jpg,30002
train_val,f_r_1152_.jpg,suim_00126.jpg,3496
train_val,f_r_1153_.jpg,suim_00127.jpg,3879
train_val,f_r_1154_.jpg,suim_00128.jpg,32769
train_val,f_r_1155_.jpg,suim_00129.jpg,3044
train_val,f_r_1157_.jpg,suim_00130.jpg,932
train_val,f_r_115_.jpg,suim_00131.jpg,145765
train_val,f_r_1161_.jpg,suim_00132.jpg,103156
train_val,f_r_1162_.jpg,suim_00133.jpg,13654
train_val,f_r_1163_.jpg,suim_00134.jpg,39589
train_val,f_r_1164_.jpg,suim_00135.jpg,939
train_val,f_r_1166_.jpg,suim_00136.jpg,11779
train_val,f_r_1167_.jpg,suim_00137.jpg,141411
train_val,f_r_1168_.jpg,suim_00138.jpg,197144
train_val,f_r_1175_.jpg,suim_00139.jpg,15504
train_val,f_r_1176_.jpg,suim_00140.jpg,33819
train_val,f_r_1178_.jpg,suim_00141.jpg,6993
train_val,f_r_1179_.jpg,suim_00142.jpg,829
train_val,f_r_117_.jpg,suim_00143.jpg,8310
train_val,f_r_1183_.jpg,suim_00144.jpg,22314
train_val,f_r_1187_.jpg,suim_00145.jpg,7967
train_val,f_r_118_.jpg,suim_00146.jpg,33856
train_val,f_r_1192_.jpg,suim_00147.jpg,36125
train_val,f_r_1193_.jpg,suim_00148.jpg,11917
train_val,f_r_1194_.jpg,suim_00149.jpg,14650
train_val,f_r_1195_.jpg,suim_00150.jpg,30879
